playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8480280,2024,Jeremy Swayman,BOS,G,4on5,21,6866.0,16.14,20.0,178.0,7.94,9.0,18.95,26.0,92.37,95.0,0.52,0.0,53.5,44.0,28.47,29.0,15.22,74.0,31.0,23.0,1.96,3.84,10.34,3.0,7.0,10.0,50.0,0.0,0.0
8480280,2024,Jeremy Swayman,BOS,G,5on4,21,8167.0,4.08,3.0,48.0,1.81,4.0,4.89,2.0,32.27,32.0,4.32,0.0,9.48,5.0,20.68,28.0,3.72,26.0,7.0,9.0,0.61,0.9,2.56,0.0,1.0,2.0,6.0,0.0,0.0
8482221,2024,Devon Levi,BUF,G,other,7,646.0,0.4,1.0,9.0,0.21,0.0,0.75,1.0,3.87,4.0,0.14,0.0,1.75,1.0,1.77,2.0,0.4,3.0,2.0,0.0,0.13,0.27,0.0,0.0,1.0,0.0,4.0,0.0,0.0
8482221,2024,Devon Levi,BUF,G,all,7,21888.0,16.46,24.0,318.0,12.27,20.0,43.29,36.0,176.05,185.0,6.17,0.0,95.19,59.0,69.76,104.0,16.19,189.0,37.0,17.0,5.38,4.91,6.17,8.0,9.0,7.0,75.0,0.0,0.0
8482221,2024,Devon Levi,BUF,G,5on5,7,17521.0,10.8,17.0,238.0,8.41,15.0,33.57,24.0,128.93,134.0,5.31,0.0,68.3,42.0,52.37,80.0,10.62,138.0,30.0,10.0,3.92,4.12,2.77,6.0,8.0,3.0,60.0,0.0,0.0
8482221,2024,Devon Levi,BUF,G,4on5,7,1969.0,4.86,6.0,64.0,3.34,5.0,8.31,10.0,38.52,41.0,0.1,0.0,23.28,16.0,12.01,16.0,4.77,43.0,3.0,7.0,1.16,0.29,3.4,2.0,0.0,4.0,11.0,0.0,0.0
8482221,2024,Devon Levi,BUF,G,5on4,7,1752.0,0.4,0.0,7.0,0.31,0.0,0.66,1.0,4.73,6.0,0.53,0.0,1.86,0.0,3.6,6.0,0.4,5.0,2.0,0.0,0.17,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8478971,2024,Connor Ingram,UTA,G,other,13,1323.0,4.58,8.0,45.0,1.61,1.0,4.82,3.0,23.38,19.0,0.56,0.0,11.62,9.0,7.54,9.0,4.14,15.0,9.0,7.0,0.7,1.09,2.79,2.0,2.0,4.0,14.0,0.0,0.0
8478971,2024,Connor Ingram,UTA,G,all,13,42869.0,32.11,43.0,659.0,22.87,25.0,84.5,66.0,350.87,333.0,12.21,0.0,186.78,164.0,139.12,178.0,30.91,344.0,99.0,34.0,9.76,11.79,10.56,17.0,18.0,8.0,182.0,2.0,1.0
8478971,2024,Connor Ingram,UTA,G,5on5,13,34941.0,22.28,27.0,500.0,16.19,21.0,66.48,51.0,265.29,257.0,9.85,0.0,139.41,118.0,106.9,143.0,21.68,270.0,65.0,25.0,7.67,7.74,6.88,13.0,11.0,3.0,140.0,0.0,0.0
8478971,2024,Connor Ingram,UTA,G,4on5,13,3847.0,3.95,6.0,98.0,4.55,2.0,11.5,12.0,50.46,45.0,0.32,0.0,31.91,31.0,17.35,20.0,3.86,51.0,19.0,1.0,1.14,2.2,0.62,2.0,3.0,1.0,27.0,0.0,0.0
8478971,2024,Connor Ingram,UTA,G,5on4,13,2758.0,0.89,1.0,11.0,0.34,1.0,1.11,0.0,8.46,10.0,1.4,0.0,2.53,4.0,5.89,5.0,0.85,7.0,3.0,1.0,0.21,0.4,0.27,0.0,1.0,0.0,0.0,2.0,1.0
8480947,2024,Kevin Lankinen,VAN,G,other,21,2210.0,4.12,6.0,69.0,2.98,4.0,7.98,4.0,36.43,35.0,0.6,1.0,22.68,22.0,10.91,14.0,3.88,37.0,8.0,5.0,1.56,0.85,1.7,4.0,0.0,2.0,19.0,0.0,0.0
8480947,2024,Kevin Lankinen,VAN,G,all,21,75692.0,55.13,53.0,1217.0,43.4,52.0,157.92,128.0,646.09,600.0,19.28,4.0,356.74,303.0,257.83,357.0,53.09,691.0,151.0,51.0,18.39,18.79,17.95,27.0,11.0,15.0,324.0,0.0,0.0
8480947,2024,Kevin Lankinen,VAN,G,5on5,21,60703.0,33.36,35.0,917.0,28.61,30.0,122.02,100.0,476.87,438.0,15.57,2.0,261.96,225.0,200.21,272.0,32.41,534.0,103.0,25.0,13.1,13.12,7.13,21.0,10.0,4.0,255.0,0.0,0.0
8480947,2024,Kevin Lankinen,VAN,G,4on5,21,7004.0,16.11,11.0,201.0,10.57,16.0,24.85,22.0,114.64,108.0,0.5,1.0,64.84,56.0,34.48,50.0,15.24,100.0,36.0,19.0,3.09,4.36,8.66,1.0,1.0,9.0,46.0,0.0,0.0
8480947,2024,Kevin Lankinen,VAN,G,5on4,21,5775.0,1.34,0.0,26.0,1.06,2.0,2.44,2.0,15.13,16.0,2.48,0.0,5.9,0.0,10.68,18.0,1.33,17.0,3.0,2.0,0.52,0.37,0.45,0.0,0.0,0.0,4.0,0.0,0.0
8473503,2024,James Reimer,BUF,G,other,5,585.0,3.03,2.0,18.0,0.76,1.0,1.97,4.0,11.37,9.0,0.12,0.0,4.57,3.0,3.35,4.0,2.33,5.0,2.0,7.0,0.23,0.24,2.57,1.0,0.0,1.0,4.0,0.0,0.0
8473503,2024,James Reimer,BUF,G,all,5,18121.0,19.35,18.0,319.0,12.37,11.0,38.53,34.0,172.85,149.0,4.48,0.0,95.44,82.0,64.88,90.0,17.72,167.0,42.0,27.0,5.85,5.24,8.26,4.0,6.0,8.0,83.0,0.0,0.0
8473503,2024,James Reimer,BUF,G,5on5,5,14931.0,11.11,13.0,237.0,8.27,9.0,30.41,20.0,126.49,111.0,3.72,0.0,71.65,63.0,50.45,71.0,10.74,137.0,26.0,13.0,4.59,3.15,3.38,3.0,4.0,6.0,61.0,0.0,0.0
8473503,2024,James Reimer,BUF,G,4on5,5,1525.0,4.97,3.0,59.0,3.21,1.0,5.86,10.0,31.92,26.0,0.17,0.0,18.37,15.0,8.65,12.0,4.42,22.0,13.0,7.0,0.95,1.71,2.31,0.0,2.0,1.0,17.0,0.0,0.0
8473503,2024,James Reimer,BUF,G,5on4,5,1080.0,0.23,0.0,5.0,0.13,0.0,0.29,0.0,3.08,3.0,0.47,0.0,0.85,1.0,2.42,3.0,0.23,3.0,1.0,0.0,0.09,0.14,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8480843,2024,Lukas Dostal,ANA,G,other,17,1272.0,3.0,4.0,49.0,1.43,0.0,4.53,5.0,23.33,25.0,0.59,0.0,13.41,9.0,8.87,14.0,2.74,20.0,11.0,1.0,0.92,1.33,0.75,1.0,2.0,1.0,17.0,0.0,0.0
8480843,2024,Lukas Dostal,ANA,G,all,17,61577.0,61.04,46.0,1220.0,43.7,65.0,155.65,142.0,643.27,576.0,17.37,2.0,342.41,277.0,250.56,343.0,58.07,631.0,179.0,65.0,17.87,22.56,20.61,12.0,19.0,15.0,345.0,0.0,0.0
8480843,2024,Lukas Dostal,ANA,G,5on5,17,50278.0,46.13,32.0,988.0,32.75,48.0,128.17,117.0,509.84,446.0,13.59,2.0,269.98,222.0,200.8,275.0,44.3,500.0,146.0,49.0,14.3,18.74,13.08,10.0,15.0,7.0,293.0,0.0,0.0
8480843,2024,Lukas Dostal,ANA,G,4on5,17,4490.0,10.27,9.0,153.0,8.55,17.0,20.19,20.0,90.65,89.0,0.38,0.0,52.63,41.0,27.27,34.0,9.41,92.0,16.0,14.0,1.98,1.74,6.54,1.0,1.0,7.0,31.0,0.0,0.0
8480843,2024,Lukas Dostal,ANA,G,5on4,17,5537.0,1.42,0.0,25.0,0.79,0.0,2.39,0.0,17.05,14.0,2.69,0.0,5.26,5.0,12.59,18.0,1.39,17.0,5.0,1.0,0.55,0.63,0.24,0.0,0.0,0.0,2.0,0.0,0.0
8480193,2024,Daniil Tarasov,CBJ,G,other,9,892.0,3.01,6.0,30.0,1.29,2.0,3.49,4.0,18.99,19.0,0.11,0.0,10.98,8.0,6.59,6.0,2.81,13.0,8.0,5.0,0.52,0.97,1.52,2.0,2.0,2.0,4.0,0.0,0.0
8480193,2024,Daniil Tarasov,CBJ,G,all,9,32138.0,29.19,38.0,532.0,19.31,39.0,65.72,46.0,280.54,268.0,9.41,0.0,155.65,115.0,106.58,147.0,27.66,262.0,89.0,35.0,7.85,11.0,10.34,12.0,18.0,8.0,146.0,0.0,0.0
8480193,2024,Daniil Tarasov,CBJ,G,5on5,9,26555.0,21.83,27.0,430.0,14.43,32.0,53.58,36.0,219.42,201.0,7.64,0.0,118.68,85.0,85.01,121.0,20.79,206.0,71.0,24.0,6.05,8.8,6.97,8.0,15.0,4.0,129.0,0.0,0.0
8480193,2024,Daniil Tarasov,CBJ,G,4on5,9,2240.0,4.1,5.0,66.0,3.39,5.0,8.03,6.0,38.3,43.0,0.35,0.0,24.75,20.0,12.39,17.0,3.81,39.0,9.0,6.0,1.13,1.13,1.85,2.0,1.0,2.0,12.0,0.0,0.0
8480193,2024,Daniil Tarasov,CBJ,G,5on4,9,2451.0,0.25,0.0,6.0,0.19,0.0,0.62,0.0,3.82,5.0,1.3,0.0,1.24,2.0,2.59,3.0,0.25,4.0,1.0,0.0,0.15,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8480313,2024,Logan Thompson,WSH,G,other,14,1817.0,5.05,6.0,52.0,2.15,3.0,5.33,3.0,28.88,28.0,0.62,1.0,16.22,13.0,8.25,13.0,4.71,20.0,10.0,8.0,0.89,1.27,2.89,0.0,3.0,3.0,14.0,0.0,0.0
8480313,2024,Logan Thompson,WSH,G,all,14,50807.0,43.76,35.0,869.0,30.07,51.0,111.49,87.0,448.59,404.0,16.12,1.0,234.79,185.0,170.73,248.0,40.79,434.0,119.0,53.0,12.73,15.03,16.0,17.0,9.0,9.0,263.0,0.0,0.0
8480313,2024,Logan Thompson,WSH,G,5on5,14,41903.0,32.74,24.0,697.0,22.95,39.0,92.69,68.0,357.56,314.0,12.72,0.0,184.5,153.0,137.98,199.0,30.28,350.0,95.0,38.0,10.16,12.05,10.53,16.0,6.0,2.0,214.0,0.0,0.0
8480313,2024,Logan Thompson,WSH,G,4on5,14,3533.0,5.13,5.0,98.0,4.39,8.0,11.42,14.0,49.78,48.0,0.34,0.0,29.68,16.0,15.77,25.0,4.97,51.0,10.0,7.0,1.31,1.24,2.58,1.0,0.0,4.0,30.0,0.0,0.0
8480313,2024,Logan Thompson,WSH,G,5on4,14,3554.0,0.55,0.0,18.0,0.41,1.0,1.68,1.0,9.93,12.0,2.25,0.0,3.26,3.0,7.77,9.0,0.55,12.0,2.0,0.0,0.3,0.25,0.0,0.0,0.0,0.0,4.0,0.0,0.0
8471734,2024,Jonathan Quick,NYR,G,other,8,1021.0,1.31,2.0,25.0,0.94,0.0,3.13,2.0,12.69,10.0,0.31,1.0,7.03,5.0,4.18,8.0,1.23,10.0,7.0,0.0,0.36,0.95,0.0,0.0,2.0,0.0,8.0,0.0,0.0
8471734,2024,Jonathan Quick,NYR,G,all,8,26534.0,20.71,19.0,449.0,16.61,25.0,62.12,30.0,246.36,224.0,8.11,2.0,133.84,119.0,94.58,142.0,20.18,262.0,55.0,19.0,7.46,7.06,6.2,10.0,5.0,4.0,113.0,2.0,1.0
8471734,2024,Jonathan Quick,NYR,G,5on5,8,22367.0,14.68,13.0,366.0,12.51,21.0,51.88,24.0,198.71,184.0,6.97,1.0,107.9,94.0,78.38,119.0,14.33,220.0,39.0,13.0,6.31,4.98,3.39,9.0,3.0,1.0,94.0,2.0,1.0
8471734,2024,Jonathan Quick,NYR,G,4on5,8,1815.0,4.3,3.0,51.0,2.97,4.0,6.37,4.0,30.42,26.0,0.08,0.0,17.45,17.0,8.94,13.0,4.2,27.0,9.0,5.0,0.62,1.12,2.56,0.0,0.0,3.0,10.0,0.0,0.0
8471734,2024,Jonathan Quick,NYR,G,5on4,8,1331.0,0.41,1.0,7.0,0.19,0.0,0.74,0.0,4.54,4.0,0.74,0.0,1.45,3.0,3.08,2.0,0.41,5.0,0.0,1.0,0.17,0.0,0.25,1.0,0.0,0.0,1.0,0.0,0.0
8482657,2024,Sebastian Cossa,DET,G,other,1,120.0,0.08,0.0,1.0,0.06,0.0,0.13,0.0,0.87,0.0,0.15,0.0,0.36,0.0,0.35,1.0,0.08,1.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
